Regulators	Fiber	RegulatorSize	FiberSize	Synchronization	numberOfConditions	meanPvalue	MeanCorrelation	MeanRegulatorCorrelation
	ohrB; murQ; fra; asnH; yxzF; ypbG; ydaM; tgl; yomK	0	9	0	137	0.176974776500899	-0.0163012080880905	-1
cgeD; murG	yrhE; ydfB; ydfR	2	3	0	130	0.158007090524792	-0.0014232567514103	-0.0352050354030893
yjmB; mhqO	yvbI; epsA; comFC; yvaK; yqfZ	2	5	0	138	0.188087905550103	0.0575860238694287	-0.152389548054081
hutG; lnrJ	yqgC; yhfT; tenI; swrAA/2; yvlD; mrgA; tlp; licR; rpmGB; yxbD; yobT; pgk	2	12	0	135	0.18061250100076	-0.0270603393189691	-0.00840321049922946
	yozX; yjcG; yhfW; yomF; yeeF; ydeQ; pbuE; ydhC; ypmA; ylxW; opuCD; yteT; yvfR; ywmF; frlB; yqiK; nasA; yhaQ; yfnE; yuaD; yvrA; ytaG	0	22	0	117	0.147697086701576	-0.00241685539219086	-1
	ylbC; yxlG; yybL; pyrAB; yrzM; yeeC; fliF; ydjA; guaD; fpbN	0	10	0	134	0.174778348553588	0.0445591696431175	-1
	ytzE; yvgT; nucB; tufA; lip; arfM; ytfP; tlpB; yoqN; oppD; yxkD; yhaX; bsdA; ktrC; ylaC; srfAC; yngG; wprA; yqeU; yfzA; mrpD; yhjB; buk	0	23	0	126	0.164296786618067	-0.0159944970530857	-1
yxcD; rpsD	yteT; ykzI	2	2	1	34	0.0067479143559036	0.777658646331878	-0.174874412826018
lytF	qcrC; ymaE; pksI	1	3	1	124	0.155857467726963	0.804443556107899	0.121972254464064
yqxK	yesK; dltE; yitE; yhfF; mdtP; xkdJ; ddl; cysL; ybaK; lipM; yqdA; yqgL; oppD; yetM; xkdH; ymfF; glpP; yxeC; holA; ssbA; yugT; yotI; yfkN	1	23	0	124	0.162021828029684	0.0219232037403454	0.155101143724556
dgcP; yvlD	yabQ; groEL; yetF; opuBD; fabD; rbsA; vpr; yqhV; spoIVFB; yuiE; ppsD; mntR; murAA; yrzM; ykzT; flgD; narH; thrR	2	18	0	75	0.0622866465967677	0.00716475837521238	-0.0419865578572913
ybgB; yqjC; yorO	yybS; sigI; yosF; yetF; yddA; rsbP; ycbU; usd; yxbD; yueD; ycgT; lnrJ; pssA; yxlA; ybfG; murD; cotSA; yojI; comGA; yisL; yozP; tkt; pucB	3	23	0	149	0.204184854637759	0.00746489555208144	0.0373461081986726
leuB	ylaI; yqfD; yeaA; ylaF; pelC; nadE; ykwC; ribT; acsA	1	9	0	140	0.194257525784474	-0.00487765859274609	0.0794558588418303
yerC; ycsA	yktA; ydaB; yomT; bdbA; pksH; fabHA; gidA; scoB; yvyF; pghC; scpB; ssbB; liaG	2	13	0	126	0.1602696869552	0.0676925476608643	0.00347046119515826
yabE; yqkB; metP	yitY; yojO; yheF; pucB; ykuE; yjcQ; nrdEB; mhqP; albF; ytmA; ald; comK; yitC; dapA; tcyP; rpoB; sqhC; udk; cwlO	3	19	0	97	0.107843468621943	0.0296247771668216	0.0344453034807196
hlpB	ynbB; spoIIB; yphE; yefC; mhqE; folK; smiA; spoVD; ykzO; yjmD; rpsU; yxkA; feuA; yydB; yveG; tatAC; yngF; ywzG; yqjY; tcyB; ysnF; rsbRC; dapA	1	23	0	101	0.114634241169317	-0.0238687762491344	0.0182958008114002
gerR	yubA; bceB; bkdB	1	3	0	53	0.0309661527768444	0.242888865868606	-0.43522398900561
	alsS; hisF; ydgI; thiF; yitK	0	5	0	71	0.0545509305977502	0.183941240541714	-1
	yqjM; yhdY; yokU; hemY; tpi; ymzC; yxiC; yozP; ktrB; nasE; cydD; yhcW; ydbI; yorQ; bstB; yvnB; hmoA; ythA; yoqI; hepT; ywnB; tseB; ykvS	0	23	0	113	0.143844664613323	0.0391045610909412	-1
ypzJ	tgl; ppsC; yfhE; ysnF; yvsG; yosH; mfd; pncA; uppS; yxeO; walR; yfkN; yxkD; ycbU; yomK; dgcK; yhdC; tagB; helD; yrpD	1	20	0	137	0.182400363283799	7.0278315124317e-05	-0.00775083197113876
	yczL; uxuA; xepA; yjzG; pyrD; yozQ; coaX; dppC; sul; yoqD; yydC; yosB; ypmR; rnmV; yloS; ywbF; yhaO; ptsG; papA; ywmF; pabC; tcyL	0	22	0	147	0.207819797621628	0.0389688726116277	-1
yorX; spoIIIAF; ytaP	ydgH; spoVAF; yxjL; pucF; ymzB; trmU; yxeE; ylbN; xkdI; khtT; rapD; abf2; slrR; yugM	3	14	0	133	0.186701742207533	-0.0309648428777501	0.00313144704066197
spoVFB	yvdD; yoaD; treP; glpD; ykkE; cheW; polY2; tilS; alaR; paiB; wapI; thrR; yrdD/2; pxpC; cotY; gdh; yplQ; yxeH; yhjH; spsE; ypuC/1	1	21	0	107	0.124302743692001	-0.007772113481034	-0.0232528353010335
yxeJ; cdsA	yvlC; aag; ymfF; thiO; rplR; ydjN; bstH; yhfW; spoIIIAA; ynzG; yuzH; ywzD; ygzD; gerPF; ytaF; yokF; hprK; yecA; yfkT; ylnF; ugd; ypuF	2	22	0	112	0.133737078406436	0.0342483795946398	-0.0350221054596222
citS	spoIIIE; rsbQ; yhbB; ackA; ywhL; ypzG; yfhI; ydeJ; yorO; ylaK	1	10	0	119	0.155583292900397	0.0282532669843493	-0.0201134968661575
yusD; yaaN; lytA	yxkI; ydhD; yfjO; tcyK; yitQ; gapA; pucB; cca; ctaD; ilvC	3	10	0	105	0.118353595019223	-0.0506782536058829	-0.0750832974738065
tcyJ; ycsE	ykoG; ycnB; fpbN; yfnG; pheA; bmrD; yoyH; yopB; motA; yoaM; nifS; tatAY; ytzC; gerM; yvgO; ldcB; mtlD	2	17	0	145	0.197677638422716	-0.0265499818122511	-0.00989391191066055
	yobW; mrpD; yetM; yozO; galK; ytkL; glnA; citR; yotC; yisQ; bglS; proG; secA; ilvC; yxkF; ynzE	0	16	0	108	0.120159121952039	0.00494577972597663	-1
yvbG; yabT	comGB; yndJ	2	2	1	33	0.00601867226806068	0.836354405454936	-0.056441478593504
spoIIM; yesN	bmrR; ywzG; rnhC; yqaF; spoIIM; spoVAD; ybfQ; ansA; ycbF	2	9	0	113	0.135971711382532	0.264292857062528	-0.0406583030252548
xkdT	yjfA; yqcA; comQ; yfnB; ydzW/4; clpY; yusD; ytcQ; accC; pnpA; yugT	1	11	0	97	0.10557610575922	-0.00605742261875909	-0.0357692887437672
	ykzT; yosM; yvbW	0	3	0	41	0.0133239929718023	0.404102976416014	-1
	yeaC; tuaD; scpB; pksL	0	4	0	102	0.120296448736391	0.152195324157633	-1
ispF; thiT	yuzF; spoVAB; comA; folK; ypwA; yvbX; yvcN; yddQ; ugtP; yloV; guaA; yhfE; cmk; prfB; ysnA; yutG; panB; yqbH; ecsB; yptA; yfhE; ythB	2	22	0	73	0.0601127707904828	0.0295805698238295	0.117058061666809
liaG; lcfA; ycnL	ydfL; yjkA; spoVE; yrvC; ysnA	3	5	0	157	0.225601986187487	0.296553553898826	0.0630992372909497
rplQ	yeeI; pyrE; ypzC; ribH; buk; leuA; pstBB; ymcB; hemH; yonR; ypjC; ycdB; ykzD; yoaK; ywzG; ybyB; tpx; rodA; yfmR; yfjO; ykvR	1	21	0	129	0.18051000877191	0.0632881902493945	0.164022934863184
kinE	yvlD; yfmP; noc	1	3	0	103	0.120155173702995	0.232614070601121	-0.220414885130085
ykuC; citG	fapR; recG; yjzJ; bsaA; ypuA; efeO; pdp; yorP; bacF; fur	2	10	0	120	0.146957043059863	0.00582889375144206	0.00218522118081833
ycbF; yteJ; yobL	yotG; comQ; cheY; yknV; spoIIGA; ydaJ; yhbJ; fliM; ydbJ; yvkA; hprT; walH; yopJ; yomQ; nprE; pucA; ispC; bpsB; yeeD; gerPC; ydcK	3	21	0	113	0.137867394735499	0.00168341934893469	-0.00449922983575977
xynD; yneI; yomY	asnS; yngE; yizC; ypzG; ygaF; ypdA; yhzF; aroF; yqeY; ysgA; secE; ilvB	3	12	0	67	0.0457528049852869	0.00825021075263639	0.0701947567528505
	yyaK; phrC; hxlR; yesM; cmoI; xkdW; yjbH; ynzG; ykwB	0	9	0	129	0.168411811828312	0.020814174628306	-1
yhdA; yqgM	ytrD; ypbD; carB; yncD; yfiB; spoIVA; ytcI; opuAC; dnaD; yrrO; yczK; ypzD; sigL; yfhL	2	14	0	113	0.14203111115717	-0.0350358674315394	-0.0423555377972013
sodF	ynzB; ybaR; ydjC; ykzB; yufK; ftsW; ydeH; yisK; lcfA; ytrF; ypjA; yxzL; yfnH; yqxK; darA; yyzG; mtlF; bsaA; ylaG; ywlG; ybbA; pheA; trmFO	1	23	0	139	0.19457801217057	0.0241042808173992	-0.0555096371545876
yjzB; ylxW	yueG; yfkJ; grpE; ypjQ; yqjU; ponA; yteP; ywqJ; yqfB	2	9	0	95	0.107231885706538	-0.0322389171241518	-0.10476699474554
remB; ylaM	dgcP; mutM; yfhA; yqfL; yqaS; recX; yosB; ydaC; yoqS; ykoV; nrdE; gidB; etfA; brxB	2	14	0	142	0.199068514335465	0.125137588078078	-0.106037038895285
ykcB; dtpT; ccpC	pepF; yrzK; ddl; ytcC; rghR; dnaG; swrA; cmoJ; ydiD; nicK; ptsG; feuC; msrA; ybaE; ytdI; ycsE; dtrR; cotC; yycB; dacC	3	20	0	137	0.181380459563325	-0.0176792663240953	-0.0055541310145413
pksL; glgB	yrdK; nupC; ypjD; ydgI	2	4	0	128	0.16035077664357	0.621633997297883	-0.336652655223859
	yuzM; plsY; nadD; xylR; mhqE; ywgA; satA; rhaA; fosB; yyaO; mleA	0	11	0	114	0.141878240241403	0.0615222080095849	-1
yngF	cotG; bioA; albE; licC; lmrA; gamA; yhzC; spoIIIAB; amyD; yxeF; yubA; mmgF; bmrB; tyrZ; ypiA; yvnA; mrpE	1	17	0	127	0.165517662958339	0.00763422224649602	0.164960574182572
ykzB; ykpC; yqcE	pabA; ydaJ; yjbC; mrpB; cypX; dtd; fbpB; bstF; yorA; ahrC; fhuC; ddcP; yrdF; yxdL; yrbE; murD	3	16	0	152	0.214116754505847	0.0613596475044049	0.0863651267721993
	miaA; spoVT; ynbB; corA; epsF; yqcE; ykzR; ythP; ynaF; ahpA; ytbD; yqeW; yqxC; ydeJ; hisJ; ybfJ; yesE; ywrO; ywoH	0	19	0	166	0.237162352761396	0.0109185748042678	-1
kduD; priA	licH; ykzR; yfnD; yebA; yxeH; bkdR; yoqB; tagG; iseA; pyrR; yoaS; ytjP; sdhC; ykzV; yteR; bglS; ybeC; yorA; yqhY; yvcJ; dapA	2	21	0	130	0.179063178322205	0.0854673452669781	0.0332483178599671
	yusN; yyzO	0	2	1	35	0.00847812546426779	0.796668573888876	-1
yomK; kduI	ybfN; yisK; liaH; yorI; ygaN; ywdK; yorC; yqhR; yvzE; yfhI; argC; yvbW; pckA; dltD; yhjB; licR; yobK; yorN; yotM; sigY; ywzB	2	21	0	129	0.168834815800315	0.00933248565735948	-0.0213531596009837
ykrP	ddl; recQ; yomG; gabD; yoqM	1	5	0	142	0.186191148138246	0.181513703749825	-0.0731019770784786
malR; atpB; lipC	yhcG; ileS; phoR; glnR; ypdQ; rapG; pucG; yybA; yfkH; tsf; comEC; yhjE; pxpB	3	13	0	118	0.147592390697704	0.0243024004693509	0.0615942693989271
yrvO; ytlP	yhjC; yvmA; comZ; phoD; lytB; flgC; sco; ybfH	2	8	0	112	0.138380683702304	0.228310723701925	0.0557800027937
comS; immA; kbl	ydzV; yobA; yhcC; clpY; yyaO; yosF; fbpB; pucG; ytkC; ydaC; sigI; yyzB; bglH; yonF; walR; yuzJ; proG; yuzI; yodP; speB	3	20	0	135	0.182602476030668	-0.00562840204398367	-0.0555327043301161
yqaT	panB; yvqK; rpoY; yqbQ; yocB; yqbJ; oppD; yxiF; yteJ; ypgQ; mhqD; yoqX; pheS	1	13	0	130	0.171771327836136	0.213454570673279	0.292397859644685
spo0E; ykuT	pstS; rpe; ywcI; ydjG; fecC; abfA; ycgG; acuB; rpsI; yomO; pyrR; iolR; dxs; yybH; yabO; kinB; yosP; yhfC; ypvA; yugN; ypbB	2	21	0	108	0.12909016205508	0.0192143181217927	0.0252769544447731
ssuB; yoaK	spsI; lytC; hrcA	2	3	0	82	0.075925950768675	0.124613077963997	0.000648942080896819
glyS; yrzS	gmuR; ymzD; bacA; ylbN; fhuD; treP	2	6	0	93	0.0945513202195042	0.189629780135727	0.374994945599341
yozZ; queA	yrdC; glpQ; ylaH; bsdA; ykzT; yxzL; rpsL; yqbD; yydF	2	9	0	122	0.15108961909009	0.0799858847790557	-0.0516651204160975
sodA	citH; yojF; uxuA; ytzK; iolG; bmr; ypeB; pucA; yttB; yvyG; pmi; mntA; hom; dgcW; yxkD; yebC; yobA	1	17	0	96	0.110048623914757	-0.0215260544103539	-0.041564110110805
	yfmM; rpsP; yqbI; yhjO; pabA; oatA; rsbU; yqeU; ymaD; yobL	0	10	0	113	0.144676484782774	0.44383564010734	-1
ynzD	mtlF; ynzF; sinI; dppB; topB; comGD; mpr; ytrF; yppG; pksI; phrH; yfkJ; ybgB; ymfK/2; ykoA; iolJ; yvrJ; yoyI; yqzL; yvaG; pfkA; yfnG; mtlD	1	23	0	134	0.186575231490743	0.0436663535255175	0.0680911192406809
ymzD	yozX; ybfA; qdoR; hemY; yvaF; ylaH; ycgG; minD; yptA; dinG; sdhB; ypbG; yonN; yitV; ydzW/5; pstS; ytzI; xkdJ; yycS; spoVAEA; yjcN; glcT	1	22	0	138	0.193459064079893	0.0286611389517287	-0.0309362867521317
bdhA; yngL	yvmA; ytnM; plsX; yndA; sknR; epsM; rbsR; ganQ; ylyA; ywqL; bofC; ycbD; spoVB; yosP; srfAD; ywjD; yknU; yxlA; ygaF; accA	2	20	0	110	0.126223657778707	-0.0124505838061996	-0.0237837603508263
	yopL; araR; yxeF; trpD; ydbO; yvaV; licR; feuA; yddN; yqgA; ycdG; fadG	0	12	0	93	0.0987116292634074	0.12722650003239	-1
yjnA; cwlS; yloA	gudB; ykoQ; yabS; yezC; pmi; ysgA; spoIIIAB; proB; purM; yorZ; cwlO; yvfT	3	12	0	114	0.133569535252507	0.0358984055692853	-0.0448894537983642
pta; tpi	sigD; splB; yqbT; nrgB; yktD; putB; recR; ykoI; spoIIE; mhqR	2	10	0	139	0.194167754796818	0.0406468102477107	0.010615708662074
yhcC	purD; yonX; yuzL; ydzS/2; yabC; yvnA; ydzF; ydaK; dat	1	9	0	82	0.0767764116113956	-0.0671783558841032	0.0282818358341729
spoVG; ytlC; yjfB	htpG; yyaP; gerKB; yuzF; yodM; motB; ynaB; yddI; yeaC; yhcG; yvaM; yncM; csbC; proA; yusD	3	15	0	116	0.147108893773598	-0.0310965743136828	-0.0185175919289081
yqxI; yfnF; xkdW	yabR; ytzJ; rpsE; yqcK; lnrM; comGF; ydgA; sipV; yxeB	3	9	0	79	0.0733372983432296	-0.057251520414136	-0.0792223950055782
yhzF	murB; yecA; yoqF; degV; gutP; mrpD; yqzG; mmgF; glgC; yloS; yomR; motA; iolW; hisC; yxbB; xpf; pucK; yvyG	1	18	0	124	0.1625888586274	-0.0189672799773717	-0.10476616102142
	yqbN/2; ykvO; ydgF; yvlC; ykoH; pabA; yxeA; rsfA; ydfI; cotO; mutL; pdxS; yvrG; dnaD; bdbB; ykuS; bofA; yheE; lnrN; ileS; yhbB; ybaR; czcO	0	23	0	138	0.19459534563954	0.115600522759359	-1
	ynbA; ypmR; yvmC; yddM; sdaAB; mhqN; yfkC; yqaC	0	8	0	136	0.178931967761182	-0.059096169653149	-1
	dtd; hmoA; yokL; ytrI; ytzG; ywhD; yccF; rsbRB; ebrA; capE; ypzH; yusN; ahpC	0	13	0	106	0.123403699102994	0.111453675851905	-1
	ppsE; comFC; ylxR; yitH; csbC; sprA	0	6	0	120	0.144729880732118	-0.0540016383211071	-1
	tatAC; alsT; bsdB; yxiB; yoaA; gerBA; dra; nasB; murJ; ytpA; dctR; azlB; yqfT; yqeM	0	14	0	140	0.195264197902035	-0.00292376662203883	-1
txpA; glcT; spx	sigZ; ywdK; capA; ureC; sdhC; ywcJ; yitZ; comFB; pdhA; yotD; htpG; yocN; cotQ; ydgE; rpmD; ytlA; ywqJ; ywpB; yfiR; ytmP; yukB; yaaA; glgC	3	23	0	96	0.102796277680389	0.00829645820411855	0.0226488151789216
yjcK; ycbN	nsrR; aadK; ydzW/4; ydeH; yaaC; yhzF	2	6	0	100	0.107341590903447	0.0818549102063371	-0.0637058144526555
	yxdK; ndk	0	2	0	103	0.115564493781647	0.485261538786841	-1
	yirB; cotS; yyaK; cheB; ypzG; yueE; xpaC; yneQ; ywtE; yxeK; yoaE; spoVAC; yhzC; xkdK; nupQ; ypbF; mtrB; ylbC; cca; yktB; tagV; comGC; yybH	0	23	0	148	0.203461101486453	0.0437374990827954	-1
yusG; sspC; licC	metI; yeeB; ymfF; skfA; ydgA; yhcJ; pnpA; yqjP	3	8	0	157	0.215805185836996	-0.0474920015556258	-0.0491077967541618
ywmE; yhfF	sdpA; sfp/1; ohrR; yabB; ytcQ; yosQ; yqfL; ylmC; pucL; yomM; ylaL; glgB; sleB; folC	2	14	0	129	0.161923704859574	-0.0339106777223805	0.0026519866189919
yumB; abrB; yybN	hit; cspD; fliT; azoR2; yfkK; gerR; araA; sspO; fliY	3	9	0	102	0.110001439672513	-0.0112347758566708	-0.0350046806819554
yyzF	qoxB; yutJ	1	2	1	55	0.0398710484928388	0.950815190577509	0.333304096203171
nadC; yvaD; appA/2	yugS; yncM; ezrA; sacA	3	4	0	70	0.0535996178392761	-0.184581496744415	-0.0726567348097988
yirB	yesZ; ykuQ; yfhC; mdxG; yjmB; rtpA; yvlC; hprT; yplP; lplC; yybS; ylaN; pckA; comGE; levG; ylaF; yhcG; yndM; purN	1	19	0	128	0.165868489408175	-0.0105938141841711	-0.0347094432921775
yodR	yjiB; ypbG; dgk	1	3	0	68	0.0519575010044855	0.19340923042902	-0.482435867996885
	bsdC; yosG; yvcI; cdd; pbpX; kinC; tlpB; yqiC; ydbK; asnB; yflA	0	11	0	148	0.206549358737501	0.0473154697790775	-1
	yuzM; mtnU; pstBA; yxcE; yvfS; ywqO; rpsP	0	7	0	107	0.121081523155663	-0.0365045283202679	-1
	yojN; ysmB; yvkN; scoC; rpmEB; yneQ; rhiL; cotM	0	8	0	149	0.21194806176316	0.028165729235991	-1
pdeH; infC; pyrK	hemN; yqeB	3	2	1	29	0.00347605676984055	0.945720683829323	0.353929634343418
smiA	ydfB; yqjU; tagE; yrkD; yozN; hemD; ytjP; yvgN; rplO; yqhY	1	10	0	93	0.096739515358654	-0.0167778909887842	0.0599265495460879
	pucB; nasB; yqfD; yotJ; ganA; xkdS; sufS; racE; ykvI; nin; yqkC; ydaK; dhbF; mdr; yqeH; ypuF; yhcU; pyrD; comGB; cysH; nrgA	0	21	0	137	0.188706250468424	-0.00331365193016947	-1
	sacX; yqfU; ysdB; ycsD; psd; comP; zur	0	7	0	111	0.137519641854279	-0.0200565724981275	-1
yfkQ; gndA; ylbG	nupQ; araD; ylmE; ytrH; frlB; yraA; yczJ; tagT; cotU; rpmA; yyaD; fatR; atpG	3	13	0	75	0.0631993678283346	0.0329816086069341	-0.0120593081725983
	yxiF; glcU; yesZ; ytlD; scoA; glcK	0	6	0	113	0.13491009220936	0.0635580019833954	-1
bacD; pbpI	comEC; yusU; yokD	2	3	0	66	0.046618085323236	0.35357933294515	-0.0798645278502898
mreBH; yrzP; cypX	yhaX; ykoP; ydzW/3; spoIIT; psdS; ygaC; bdbB; spoIIAA; moaE; yhaI; malS; yteA; yebA; zinT	3	14	0	130	0.178641220544284	-0.0307595692267809	0.0053566513701005
comGE	psd; yhaP; mreBH; nfo; yfjF; yclH; yfhO; yunF; bltD; efp; yceE; ydeE; yxaD; yyaF; yoqU; thrR; ymfK/2; rny; perR; ctaB; proH	1	21	0	151	0.209081413911391	0.206445463340156	-0.255940201258613
speE; ydiP; ywhH	rplQ; yxaA; ddcP; ymzB; dppD; ywqL; xkdV; ytaG; helD; gntK; yqzI; bceS; ybdJ; rpmC	3	14	0	93	0.0978726329953774	0.0126509483586817	0.0488303785461955
	yqhG; ypjD	0	2	1	58	0.0357108295219706	0.722674341667366	-1
	yqhY; yfjP; yocC; sufB; ydzN; ywqL; slp; ywrB	0	8	0	145	0.190180883626469	-0.00995087005533512	-1
yloC; yfkT; bstG	accB; yppE; panD; sigX; ydeA; argH; degS; aseR; yyaN; spoVM; yddA; ykvQ; yorY; nudF; iolF; ydhI; yerA; sfp/2; moeB	3	19	0	160	0.24116305433116	0.0314238556183269	0.0149272044333982
	yoaQ; walK; ykzV; yhfU; ydbB; ydjJ; appB; yhcV; yycO	0	9	0	115	0.160949000343402	0.0506483696116306	-1
acdA; ytzH	mrpB; yyzH; racA; yqjQ; polY2; btr; yhdX; ycnK; ywnG; yloV; spo0B; yvlC; fpbO; pghC; ykoA; yhdT	2	16	0	137	0.18827340759249	0.0521102242246024	0.105505702613946
	yflS; sdpC; rnmV; ptpZ; yunC; yrzS; cpgA; yjbI; sirB; glpD	0	10	0	98	0.106657213392204	-0.0157278478785447	-1
nifS	ywrJ; acoC; rhaM; asnH; yobA; ybfK; yjfB; yonO; yjbC; ymdB; tsaD; citS; yitC; ytkK; ytoI; yqzK; prfB; recJ	1	18	0	134	0.192484576166208	-0.0115707200290101	-0.108490428123546
	rocF; ktrA	0	2	1	46	0.0197547812774996	0.878928915328869	-1
ispF; cwlS; yqbJ	ybfF; ylxR; yabN; ywdE; ywlA; ydaJ; yesZ; ywrO; ygaC; yrhD; coaA; ung; ydgJ; yrrS; tuaF; ywiC; ytcQ; rapB; sfp/2; ydhF; bofA; pksH; yutF	3	23	0	136	0.195599291712228	0.0953164960144949	-0.0229640138119949
yoxD; dtd	appB; purB	2	2	1	10	5.67260344004227e-07	0.97291359443708	0.0501114977954439
cotI; cdaS; xlyA	yfiF; yfnG; ypjQ; yhdL	3	4	0	108	0.132810451220011	-0.00365131291008082	-0.147421278512032
yoaG; yosG	yitJ; yopA; ywrA; yvcI; folE; ywlD; ytsJ; epsC; ydbS; rhgR; rpsH; pbpE; cwlO; mtrB; menE; proJ; yjbC; spsJ; ydfJ; speA; ykoS; yhaM	2	22	0	95	0.107238540549764	0.0172107476842169	-0.0152763150586573
	dxs; mprF; polC; ydjI; yhcZ; yxjJ; sacX; ydeL	0	8	0	130	0.175527416751234	0.0569416942532041	-1
ypkP; yomD; tcyP	sprB; yxcE; ylbF; ypeQ; yjkA; tcyA; yoaW; yesE; ascR; ynzD; ybdN; ydgB; yfhP; ytnP; pucR; buk; atpI	3	17	0	128	0.168207032470159	-0.0285744744763649	0.0514762474353138
yqcF; rpmEB	malL; oxdC; licR; rsbRD; ytqB; yrhE; yvmC; ygxA; glpK; ytaF; yjbL; yfiB; yobL; nupG; trpA; dtpT; cotO; yfhB; pfeT; yqeC	2	20	0	126	0.170819704736636	0.0167789178774089	0.00148822130929145
yxjN; guaC	rplU; yoyA; yosX; yhdK; cdaA; yomP; motB; yerB; pksC; hypO; wprA; clsA; ypmR; ykzH; yubA; yxiO; eag; thiM	2	18	0	124	0.15871253903737	0.0873961092837451	0.245119823455447
pbpF	yqfC; ispE; yonE; yorO; znuA; yeeI; sspO; yusI; ysfB; ctaF; yoyK/2; sspK	1	12	0	138	0.192424387603038	-0.0336954757267022	0.0698276352511575
phrG; mrpF; yitG	yueB; ydbK; cwlD	3	3	0	90	0.0891057286711412	-0.0670904174389325	-0.0728206572064604
	ylbA; prsA; yqgX; oppB; araQ; murD; epsJ; yuiF; purM; rocE	0	10	0	133	0.180856202063588	0.0438085621965759	-1
yxkI	nupG; gerBC; sigH; chaA; lpdV; mdr; ygaC; pucK; ribD; hemE; yolB; alaT; fliH; conE; yopH; tasA; yhcX	1	17	0	121	0.1526037550085	0.0605020187652232	0.279765268018227
purB	xkdH; ywrB; yugF; yozQ; galK; ytzL; yoeD; ytxB; ykzK; ganS; ymfC; yusF; holB; yybE; ypjQ; ykuL; yomT; purR; ytjA; ywjC; nifS; ywnC; xkdQ	1	23	0	159	0.225344521252257	0.00484003032429159	-0.0935406335670489
